,name,10-K,exibit,xbrl,EXCEL,GRAPHIC,JSON,XML,ZIP,CORRESP,COVER,RENDERED
144,0000950123-10-100207.txt,1,7,6,1,1,0,48,1,0,0,0
145,0000063754-17-000014.txt,1,6,6,1,5,0,96,1,0,0,0
146,0001193125-11-052040.txt,1,19,6,1,25,0,132,1,0,0,0
147,0001193125-10-043079.txt,1,16,6,1,17,0,27,0,0,0,0
148,0000068505-17-000002.txt,1,6,6,1,4,0,111,1,0,0,0
149,0001013871-16-000022.txt,1,8,6,1,4,0,145,1,0,0,0
150,0001041061-18-000013.txt,1,8,5,1,1,1,91,1,0,0,0
151,0001324424-18-000006.txt,1,8,6,1,1,0,108,1,0,0,0
152,0001193125-16-478568.txt,1,9,6,1,2,0,182,1,0,0,0
153,0001045810-18-000010.txt,1,7,6,1,2,0,67,1,0,0,0
154,0001193125-10-042685.txt,1,17,6,1,17,0,42,0,0,0,0
155,0001047469-11-001398.txt,1,5,6,1,0,0,35,1,0,0,0
156,0001532176-15-000008.txt,1,9,6,2,1,0,73,1,0,0,0
157,0001534701-19-000063.txt,1,8,6,1,2,0,134,1,0,0,0
158,0000109380-19-000040.txt,1,20,6,1,2,0,124,1,0,0,0
159,0001144204-10-009642.txt,1,9,6,1,2,0,26,0,0,0,0
160,0001193125-12-282260.txt,1,8,6,1,30,0,91,1,0,0,0
161,0001193125-12-388590.txt,1,7,6,1,5,0,122,1,0,0,0
162,0001193125-15-054350.txt,1,15,6,2,8,0,154,1,0,0,0
163,0000814453-16-000176.txt,1,8,6,1,0,0,102,1,0,0,0
164,0001090872-13-000029.txt,1,9,6,2,0,0,95,1,0,0,0
165,0001410636-18-000076.txt,1,7,6,1,3,0,118,1,0,0,0
166,0000098246-17-000061.txt,1,14,6,1,5,0,118,1,0,0,0
167,0000106640-17-000013.txt,1,7,6,1,7,0,98,1,0,0,0
168,0001193125-15-058361.txt,1,7,6,2,6,0,112,1,0,0,0
169,0001110803-19-000013.txt,1,6,6,1,3,0,88,1,0,0,0
170,0000832101-15-000009.txt,1,18,6,2,6,0,102,1,0,0,0
171,0000106535-12-000016.txt,1,6,6,1,34,0,140,1,0,0,0
172,0000034903-16-000045.txt,1,6,6,1,1,0,93,1,0,0,0
173,0000011544-12-000021.txt,1,6,6,1,0,0,122,1,0,0,0
174,0001047469-14-001583.txt,1,6,6,2,1,0,95,1,0,0,0
175,0001193125-10-040142.txt,1,7,6,1,0,0,33,0,0,0,0
176,0000899866-15-000016.txt,1,9,6,2,1,0,100,1,0,0,0
177,0001445305-12-000521.txt,1,11,6,1,1,0,83,1,0,0,0
178,0001193125-11-050218.txt,1,7,6,1,1,0,136,1,0,0,0
179,0000011544-16-000086.txt,1,4,6,1,0,0,121,1,0,0,0
