,count
1060,27632
1061,75090
1062,50848
1063,102907
1064,44492
1065,58913
1066,36201
1067,81157
1068,60497
1069,33564
1070,57264
1071,37050
1072,47868
1073,46055
1074,17133
1075,107042
1076,53724
1077,0
1078,29056
1079,53094
1080,45129
1081,57295
1082,57408
1083,55605
1084,22419
1085,47972
1086,35620
1087,64526
1088,58183
1089,64931
1090,68569
1091,0
1092,37962
1093,108772
1094,22537
1095,39053
1096,40524
1097,70504
1098,46049
1099,77219
1100,30545
1101,102830
1102,27183
1103,17777
1104,197866
1105,55177
1106,29894
1107,61690
1108,80116
1109,33622
1110,44101
1111,0
1112,38546
1113,37320
1114,34112
1115,16711
1116,38894
1117,35279
1118,46740
1119,45375
1120,66019
1121,0
1122,56151
1123,35700
1124,56848
1125,57787
1126,45424
1127,43575
1128,75609
1129,56507
1130,41312
1131,46813
1132,0
1133,28365
1134,31661
1135,54703
1136,31030
1137,40206
1138,47447
1139,50807
1140,19029
1141,32384
1142,33394
1143,34949
1144,0
1145,93878
1146,49051
1147,0
1148,32533
1149,42458
1150,24719
1151,56937
1152,0
1153,60353
1154,38994
1155,61243
1156,43178
1157,55587
1158,49437
1159,70017
1160,65727
1161,4
1162,30955
1163,75699
1164,75767
1165,0
1166,104344
1167,61337
1168,67001
1169,101032
1170,151765
1171,37918
1172,43177
1173,87718
1174,35796
1175,20921
1176,102515
1177,40707
1178,118989
1179,55529
1180,56158
1181,71279
1182,76477
1183,63097
1184,33845
1185,34839
1186,0
1187,58412
1188,37245
1189,46091
1190,39369
1191,44013
1192,0
1193,98423
1194,29268
1195,96391
1196,56312
1197,101691
1198,83438
1199,26753
1200,42159
1201,116842
1202,33850
1203,34830
1204,52075
1205,58658
1206,102648
1207,81134
1208,35633
1209,57489
1210,30290
1211,3
1212,0
1213,107206
1214,39674
1215,6
1216,68809
1217,54165
1218,60367
1219,28201
1220,50995
1221,0
1222,79364
1223,154253
1224,59311
1225,36837
1226,2
1227,67431
1228,27645
1229,32551
1230,59507
1231,102569
1232,34069
1233,61754
1234,49974
1235,37999
1236,48709
1237,30136
1238,2
1239,77572
1240,44424
1241,86270
1242,50926
1243,3
1244,40579
1245,47557
1246,64596
1247,68999
1248,44395
1249,34013
1250,43094
1251,30623
1252,63241
1253,43660
1254,45974
1255,74556
1256,25320
1257,223381
1258,59538
1259,57762
1260,69523
1261,48562
1262,69292
1263,19990
1264,16045
1265,41735
1266,0
1267,0
1268,52175
1269,49118
1270,39176
1271,32888
1272,0
1273,0
1274,41746
1275,0
1276,57497
1277,56043
1278,57278
1279,79024
1280,39868
1281,53729
1282,34061
1283,41279
1284,46285
1285,1
1286,43697
1287,101393
1288,81036
1289,91413
1290,75021
1291,95829
1292,0
1293,63358
1294,20297
1295,58392
1296,49192
1297,73786
1298,37938
1299,54887
1300,41730
1301,75531
1302,32530
1303,49988
1304,0
1305,33967
1306,0
1307,31965
1308,36551
1309,2
1310,39776
1311,134038
1312,45653
1313,135929
1314,27264
1315,37957
1316,37992
1317,77599
1318,0
1319,34417
1320,1
1321,57088
1322,57803
1323,51111
1324,52345
1325,22364
1326,0
1327,33335
1328,85013
1329,53406
1330,0
1331,39677
1332,38498
1333,53161
1334,80076
1335,168948
1336,47256
1337,48883
1338,70364
1339,102357
1340,52397
1341,36358
1342,43388
1343,50529
1344,44787
1345,53624
1346,0
1347,66172
1348,59192
1349,41660
1350,77344
1351,63250
1352,36451
1353,58012
1354,0
1355,74575
1356,3
1357,59091
1358,41084
1359,32039
1360,27804
1361,52779
1362,33575
1363,0
1364,16956
1365,57347
1366,36217
1367,41945
1368,41949
1369,64791
1370,7
1371,36446
1372,34755
1373,0
1374,52162
1375,59925
1376,51230
1377,112224
1378,2
1379,42815
1380,56222
1381,58325
1382,53942
1383,61224
1384,59351
1385,44512
1386,73127
1387,30619
1388,37833
1389,60736
1390,44550
1391,0
1392,31792
1393,56500
1394,28209
1395,40409
1396,55324
1397,37366
1398,28116
1399,36034
1400,82218
1401,53809
1402,63639
1403,68812
1404,52559
1405,44833
1406,39727
1407,40464
1408,47276
1409,86714
1410,48951
1411,42075
1412,1
1413,19002
1414,59729
1415,19477
1416,42345
1417,80568
1418,15513
1419,26788
1420,55001
1421,42385
1422,25530
1423,56085
1424,61645
1425,0
1426,71788
1427,166565
1428,102998
1429,47429
1430,42920
1431,34628
1432,34386
1433,0
1434,44416
1435,62848
1436,31397
1437,43689
1438,0
1439,40713
1440,35038
1441,36463
1442,47763
1443,57639
1444,57817
1445,92673
1446,29409
1447,45164
1448,54232
1449,70206
1450,78050
1451,42331
1452,50926
1453,58608
1454,28097
1455,35630
1456,27123
1457,56185
1458,1
1459,45534
1460,40811
1461,31533
1462,91509
1463,33345
1464,56867
1465,71287
1466,37511
1467,16961
1468,83115
1469,1
1470,79256
1471,47513
1472,43967
1473,51740
1474,0
1475,68568
1476,78156
1477,155513
1478,33175
1479,56694
1480,47600
1481,52221
1482,28462
1483,34409
1484,37199
1485,48970
1486,0
1487,65793
1488,42607
1489,45943
1490,44622
1491,62850
1492,44188
1493,38279
1494,0
1495,0
1496,26194
1497,99627
1498,32024
1499,52738
1500,0
1501,0
1502,33977
1503,50394
1504,50506
1505,0
1506,41004
1507,45373
1508,87701
1509,35988
1510,48982
1511,28654
1512,67649
1513,41888
1514,44429
1515,43228
1516,19180
1517,37859
1518,0
1519,98866
1520,41218
1521,26386
1522,105541
1523,49191
1524,75873
1525,0
1526,109556
1527,72501
1528,46618
1529,61469
1530,57761
1531,0
1532,58151
1533,98227
1534,37413
1535,81855
1536,44236
1537,16868
1538,111698
1539,45237
1540,0
1541,34647
1542,32030
1543,24862
1544,39037
1545,142297
1546,79222
1547,45040
1548,20938
1549,20080
1550,66361
1551,44501
1552,61638
1553,0
1554,0
1555,37630
1556,41240
1557,35708
1558,83415
1559,47158
1560,41030
1561,46201
1562,58899
1563,49880
1564,53185
1565,38555
1566,70225
1567,0
1568,29368
1569,38793
1570,1
1571,131898
1572,61044
1573,67498
1574,52602
1575,38253
1576,95652
1577,49171
1578,32923
1579,206279
1580,0
1581,134826
1582,39974
1583,49265
1584,53298
1585,45109
1586,48618
1587,49681
1588,63953
1589,30658
1590,55939
1591,77335
1592,44799
1593,0
1594,31873
1595,31695
1596,39918
1597,54317
1598,36607
1599,106767
1600,50887
1601,41990
1602,48439
1603,37867
1604,54811
1605,53183
1606,0
1607,4
1608,88614
1609,0
1610,0
1611,46105
1612,40289
1613,56300
1614,35094
1615,55158
1616,59837
1617,57268
1618,22714
1619,40643
1620,38176
1621,46261
1622,0
1623,55125
1624,36355
1625,144218
1626,104657
1627,54579
1628,93685
1629,2
1630,0
1631,43930
1632,35041
1633,46693
1634,0
1635,68225
1636,34632
1637,174041
1638,64109
1639,43542
1640,81033
1641,0
1642,47143
1643,70349
1644,54966
1645,23534
1646,18935
1647,46467
1648,42841
1649,30490
1650,46184
1651,102619
1652,62044
1653,52364
1654,46556
1655,31306
1656,0
1657,16672
1658,68670
1659,55766
1660,0
1661,0
1662,0
1663,64125
1664,59772
1665,57378
1666,11
1667,0
1668,171884
1669,31368
1670,6
1671,63505
1672,58777
1673,54479
1674,121223
1675,43631
1676,0
1677,58428
1678,2
1679,38451
1680,39315
1681,44935
1682,86297
1683,58927
1684,52494
1685,37336
1686,0
1687,65950
1688,37415
1689,65549
1690,29959
1691,65845
1692,19172
1693,0
1694,22543
1695,280387
1696,71567
1697,26237
1698,45025
1699,0
1700,66852
1701,38445
