,name,cik,year,number,character_count,word_count,important_words,frequent_words
3342,0000719739-18-000011,719739,18,11,376152,55970,"['zero', 'embed', 'enabl', 'employment', 'employees', 'employee', 'employe', 'employ', 'elsewher', 'entitled', 'eliminations', 'eliminated', 'elimin', 'elig', 'elements']","[('valu', 482), ('amount', 430), ('includ', 400), ('fair', 395), ('invest', 388), ('secur', 368), ('the', 339), ('financi', 315), ('loan', 311), ('asset', 291), ('incom', 275), ('interest', 269), ('net', 264), ('loss', 261), ('equiti', 258)]"
3343,0001539838-13-000004,1539838,13,4,201207,30640,"['zero', 'division', 'doe', 'dollar', 'domain', 'domest', 'domestic', 'doubt', 'doubtful', 'downsid', 'downward', 'drawdown', 'drawn', 'dri', 'drill']","[('the', 390), ('compani', 236), ('amount', 226), ('valu', 215), ('asset', 185), ('relat', 167), ('cost', 167), ('oil', 165), ('ga', 163), ('includ', 159), ('fair', 158), ('tax', 149), ('stock', 148), ('share', 136), ('incom', 134)]"
3344,0000316709-16-000067,316709,16,67,515607,79164,"['zero', 'different', 'diluted', 'dilut', 'digit', 'difficulty', 'difficulti', 'difficult', 'differences', 'determin', 'differ', 'deviat', 'developments', 'development', 'developed']","[('$', 2542), ('-', 1382), ('secur', 1010), ('the', 716), ('valu', 599), ('amount', 529), ('loan', 517), ('includ', 497), ('net', 462), ('fair', 458), ('asset', 456), ('total', 450), ('cash', 404), ('loss', 376), ('compani', 372)]"
3345,0001193125-12-084766,1193125,12,84766,264566,40480,"['zero', 'deposit', 'depreciation', 'depreciationand', 'deriv', 'describ', 'descript', 'design', 'detail', 'details', 'deterior', 'determin', 'determinable', 'develop', 'dewat']","[('tax', 350), ('the', 343), ('asset', 306), ('$', 246), ('valu', 217), ('benefit', 215), ('includ', 213), ('incom', 208), ('net', 195), ('cost', 179), ('plan', 178), ('million', 175), ('liabil', 170), ('amount', 167), ('cash', 161)]"
3346,0000950123-11-017079,950123,11,17079,21,2,"['verboselabel', 'durat']","[('durat', 1), ('verboselabel', 1)]"
3347,0001564590-19-003523,1564590,19,3523,298254,44651,"['zone', 'distribut', 'discontinu', 'discontinued', 'discount', 'discounts', 'discoveri', 'discretionari', 'discuss', 'dismiss', 'display', 'displayed', 'dispos', 'disposition', 'disput']","[('the', 528), ('compani', 449), ('amount', 350), ('tax', 339), ('valu', 265), ('period', 246), ('asset', 245), ('share', 221), ('stock', 214), ('fair', 212), ('includ', 207), ('account', 204), ('use', 202), ('incom', 200), ('cash', 186)]"
3348,0001193125-17-248016,1193125,17,248016,271713,41913,"['yield', 'ear', 'dollars', 'domain', 'domest', 'domicil', 'domicile', 'doubt', 'down', 'draw', 'drew', 'due', 'dure', 'each', 'earli']","[('\ufeff', 899), ('$', 326), ('amount', 320), ('asset', 315), ('tax', 309), ('valu', 285), ('year', 280), ('the', 280), ('includ', 232), ('We', 223), ('fair', 218), ('share', 213), ('financi', 207), ('incom', 197), ('period', 191)]"
3349,0000031791-17-000003,31791,17,3,335215,50732,"['zero', 'domest', 'drawn', 'drawdown', 'downgrad', 'down', 'doubt', 'domicile', 'domain', 'drug', 'dollar', 'doe', 'document', 'divisions', 'division']","[('the', 608), ('amount', 409), ('tax', 376), ('asset', 351), ('compani', 350), ('valu', 332), ('year', 307), ('benefit', 305), ('period', 276), ('fiscal', 274), ('includ', 273), ('incom', 256), ('fair', 249), ('million', 248), ('report', 232)]"
3350,0001437749-17-003269,1437749,17,3269,136396,20359,"['yet', 'estat', 'equiti', 'equity', 'equival', 'equivalents', 'escrow', 'esop', 'establish', 'estate', 'equip', 'estim', 'etc', 'event', 'events']","[('amount', 366), ('the', 244), ('tax', 195), ('incom', 184), ('invest', 146), ('real', 138), ('period', 129), ('includ', 124), ('cash', 117), ('report', 113), ('expens', 111), ('valu', 110), ('share', 100), ('estat', 100), ('asset', 98)]"
3351,0001571949-19-000003,1571949,19,3,333137,50911,"['zero', 'disciplin', 'discret', 'discount', 'discontinu', 'disclosures', 'disclosure', 'disclosur', 'disclos', 'disaggreg', 'difference', 'directors', 'director', 'directli', 'direct']","[('tax', 380), ('amount', 374), ('the', 325), ('benefit', 300), ('asset', 294), ('includ', 287), ('cash', 263), ('million', 261), ('valu', 239), ('clear', 238), ('incom', 225), ('use', 211), ('stock', 207), ('period', 205), ('financi', 200)]"
3352,0000818479-17-000007,818479,17,7,349564,52409,"['zero', 'effective', 'educ', 'economy', 'economies', 'economi', 'econom', 'eastern', 'earnings', 'earned', 'earn', 'earliest', 'earli', 'each', 'dynam']","[('the', 579), ('amount', 495), ('asset', 419), ('$', 338), ('compani', 337), ('tax', 305), ('valu', 300), ('includ', 299), ('net', 298), ('cost', 273), ('incom', 271), ('benefit', 268), ('financi', 257), ('report', 251), ('fair', 251)]"
3353,0001281761-18-000016,1281761,18,16,481121,72065,"['zero', 'dissemin', 'disput', 'dispositions', 'disposals', 'dispos', 'disparagement', 'disparag', 'dismiss', 'discussion', 'discuss', 'discretionari', 'discretion', 'discret', 'discoveri']","[('valu', 642), ('the', 583), ('amount', 560), ('fair', 520), ('loan', 475), ('asset', 461), ('includ', 459), ('incom', 422), ('tax', 378), ('region', 375), ('loss', 324), ('use', 319), ('cash', 290), ('interest', 284), ('net', 283)]"
3354,0001445305-14-000435,1445305,14,435,204514,30606,"['zero', 'employment', 'electron', 'electronics', 'element', 'elig', 'elimin', 'eliminated', 'employ', 'employe', 'employee', 'employees', 'employer', 'employers', 'enact']","[('amount', 383), ('the', 303), ('asset', 255), ('tax', 217), ('valu', 190), ('incom', 187), ('includ', 178), ('benefit', 173), ('share', 171), ('million', 167), ('cost', 165), ('expens', 154), ('stock', 137), ('report', 136), ('year', 133)]"
3355,0000020286-19-000012,20286,19,12,264237,39050,"['zero', 'eighth', 'elect', 'elected', 'election', 'element', 'elements', 'elig', 'elimin', 'elsewher', 'embed', 'employ', 'employe', 'employee', 'employees']","[('amount', 328), ('valu', 293), ('the', 293), ('incom', 273), ('tax', 246), ('insur', 238), ('claim', 235), ('includ', 233), ('fair', 229), ('benefit', 212), ('cost', 205), ('period', 200), ('report', 198), ('invest', 196), ('use', 195)]"
3356,0000726728-11-000013,726728,11,13,8,1,['durat'],"[('durat', 1)]"
3357,0001193125-10-027229,1193125,10,27229,0,0,0,0
3358,0000723531-15-000011,723531,15,11,196823,29438,"['zero', 'employee', 'duty', 'each', 'earli', 'earn', 'earnings', 'easier', 'econom', 'effect', 'effects', 'effort', 'either', 'elect', 'elected']","[('the', 280), ('tax', 249), ('amount', 245), ('stock', 192), ('valu', 187), ('includ', 183), ('period', 164), ('report', 152), ('incom', 142), ('share', 139), ('fair', 136), ('compani', 136), ('asset', 132), ('financi', 121), ('option', 120)]"
3359,0000062709-12-000016,62709,12,16,307809,47087,"['zero', 'diversif', 'dividends', 'dividend', 'divid', 'divestitur', 'divest', 'diversifi', 'district', 'division', 'distribut', 'disputes', 'disposition', 'disposit', 'disposal']","[('the', 607), ('tax', 389), ('valu', 348), ('asset', 329), ('amount', 311), ('includ', 280), ('incom', 278), ('fair', 255), ('benefit', 255), ('period', 250), ('share', 238), ('net', 234), ('plan', 228), ('compani', 207), ('balanc', 203)]"
